Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,36.459999,36.840000,35.470001,35.529999,30.676285,27303200
2020-09-23,35.650002,35.790001,34.349998,34.389999,29.692020,31251400
2020-09-24,34.400002,34.820000,33.759998,34.320000,29.631584,26796000
2020-09-25,34.000000,34.939999,33.880001,34.639999,29.907869,23486000
2020-09-28,35.139999,35.900002,35.099998,35.310001,30.486341,23396500
2020-09-29,35.000000,35.110001,33.990002,34.279999,29.597044,20770500
2020-09-30,34.639999,34.919998,34.130001,34.330002,29.640217,22223700
2020-10-01,33.790001,34.099998,32.939999,33.130001,28.604145,36890200
2020-10-02,32.250000,33.349998,32.209999,32.980000,28.474636,32694300
2020-10-05,33.320000,33.750000,33.169998,33.740002,29.130816,22965200
2020-10-06,34.119999,34.419998,33.310001,33.389999,28.828632,26731800
2020-10-07,33.639999,33.740002,33.209999,33.500000,28.923605,23779300
2020-10-08,33.880001,35.340000,33.759998,35.259998,30.443171,34413700
2020-10-09,35.680000,35.950001,34.650002,34.740002,29.994207,29228600
2020-10-12,34.540001,34.730000,34.230000,34.630001,29.899231,17912800
2020-10-13,34.730000,34.869999,34.099998,34.220001,29.545242,20995100
2020-10-14,34.060001,34.830002,34.029999,34.150002,29.484810,17743000
2020-10-15,33.700001,34.459999,33.270000,34.450001,29.743828,23251600
2020-10-16,34.369999,34.639999,33.880001,34.099998,29.441637,22627200
2020-10-19,34.099998,34.369999,33.389999,33.419998,28.854525,23645800
2020-10-20,33.660000,33.930000,33.330002,33.700001,29.096281,23040600
2020-10-21,33.509998,33.619999,33.139999,33.160000,28.630051,28619300
2020-10-22,33.180000,34.959999,33.020000,34.860001,30.097813,31831500
2020-10-23,34.970001,35.080002,33.860001,34.160000,29.493437,27429100
2020-10-26,33.610001,33.770000,32.950001,33.349998,28.794092,30888700
2020-10-27,33.150002,33.200001,32.700001,32.820000,28.336500,27100700
2020-10-28,32.099998,32.380001,31.520000,31.570000,27.257257,42136400
2020-10-29,31.410000,33.130001,31.110001,32.970001,28.466009,38622800
2020-10-30,32.410000,33.139999,32.009998,32.619999,28.163820,47885700
2020-11-02,33.139999,34.459999,32.570000,33.990002,29.346663,40130300
2020-11-03,34.490002,34.490002,33.130001,33.410000,28.845901,36773000
2020-11-04,33.270000,34.139999,32.529999,33.230000,28.690483,35410100
2020-11-05,33.369999,33.919998,33.139999,33.169998,28.638683,30824100
2020-11-06,33.099998,33.660000,32.619999,32.779999,28.301960,33985600
2020-11-09,36.419998,38.009998,36.060001,36.930000,31.885036,76879400
2020-11-10,37.049999,37.430000,35.980000,36.860001,32.592411,49055400
2020-11-11,37.090000,37.119999,36.189999,36.480000,32.256413,34124500
2020-11-12,35.860001,36.290001,34.869999,35.230000,31.151131,30933700
2020-11-13,35.400002,36.250000,35.380001,36.080002,31.902723,29241500
2020-11-16,37.590000,38.169998,37.099998,38.160000,33.741898,38596800
2020-11-17,37.810001,38.709999,37.380001,38.669998,34.192848,26521100
2020-11-18,39.020000,39.130001,37.200001,37.209999,32.901886,31068000
2020-11-19,36.860001,37.500000,36.560001,37.400002,33.069893,26954400
2020-11-20,37.349998,37.410000,36.779999,36.939999,32.663147,18351000
2020-11-23,37.500000,39.430000,37.279999,39.360001,34.802967,29367600
2020-11-24,40.509998,42.080002,40.220001,41.980000,37.119625,46979300
2020-11-25,41.669998,41.709999,40.650002,40.810001,36.085083,28178200
2020-11-27,40.700001,40.939999,39.869999,40.189999,35.536873,14971900
2020-11-30,39.799999,39.880001,37.970001,38.130001,33.715374,45614300
2020-12-01,38.959999,39.650002,38.470001,38.500000,34.042534,32472900
2020-12-02,38.389999,40.419998,38.340000,39.939999,35.315807,29369500
2020-12-03,40.070000,40.639999,39.730000,40.209999,35.554554,27038900
2020-12-04,40.770000,41.759998,40.650002,41.680000,36.854362,28723600
2020-12-07,41.419998,41.540001,40.669998,40.900002,36.164665,24899400
2020-12-08,40.529999,42.590000,40.439999,42.240002,37.349525,32573800
2020-12-09,42.709999,43.730000,42.380001,42.799999,37.844685,37824800
2020-12-10,43.200001,44.470001,42.759998,44.009998,38.914597,38058700
2020-12-11,43.700001,43.930000,43.209999,43.799999,38.728909,25478800
2020-12-14,44.340000,44.459999,42.180000,42.220001,37.331837,30595000
2020-12-15,42.439999,43.220001,42.060001,43.040001,38.056900,27138400
2020-12-16,43.750000,44.110001,42.959999,43.700001,38.640488,34273000
2020-12-17,44.000000,44.040001,43.400002,43.480000,38.445957,21204600
2020-12-18,43.270000,43.779999,42.419998,42.730000,37.782787,46596800
2020-12-21,41.110001,42.080002,40.529999,41.950001,37.093098,27869500
2020-12-22,41.580002,41.900002,41.230000,41.240002,36.465309,21792900
2020-12-23,41.509998,42.389999,41.459999,41.770000,36.933941,19085900
2020-12-24,41.650002,41.849998,41.380001,41.599998,36.783619,8039000
2020-12-28,41.689999,42.549999,41.520000,41.740002,36.907413,23877500
2020-12-29,42.040001,42.119999,41.200001,41.270000,36.491829,20287700
2020-12-30,41.330002,42.419998,41.270000,41.599998,36.783619,23807300
2020-12-31,41.470001,41.680000,40.970001,41.220001,36.447624,22786500
2021-01-04,41.450001,42.250000,41.000000,41.500000,36.695198,27764700
2021-01-05,41.840000,44.799999,41.830002,43.500000,38.463638,44035100
2021-01-06,44.410000,45.099998,43.700001,44.610001,39.445129,36484800
2021-01-07,45.000000,45.570000,44.529999,44.959999,39.754604,29528100
2021-01-08,45.200001,45.820000,44.950001,45.459999,40.196716,28628200
2021-01-11,45.040001,47.139999,44.750000,46.840000,41.416939,38246200
2021-01-12,47.459999,48.169998,46.910000,47.880001,42.336529,36915100
2021-01-13,48.529999,48.709999,47.689999,48.419998,42.814018,29000300
2021-01-14,48.500000,51.080002,48.500000,50.310001,44.485195,35474800
2021-01-15,48.910000,49.080002,47.290001,47.889999,42.345379,42411300
2021-01-19,48.450001,49.439999,48.349998,48.840000,43.185390,24932600
2021-01-20,49.110001,49.740002,48.990002,49.529999,43.795498,22342400
2021-01-21,49.330002,49.389999,47.680000,48.110001,42.539906,29044500
2021-01-22,47.009998,47.639999,46.639999,47.430000,41.938637,23264800
2021-01-25,46.900002,47.049999,46.160000,46.900002,41.469997,26395800
2021-01-26,47.259998,47.860001,45.849998,45.869999,40.559246,23976800
2021-01-27,45.000000,46.660000,44.529999,45.349998,40.099453,32410300
